,Palabra,Categoría Gramatical,Oxford3000,Oxford5000,A clash of kings,A game of thrones,Name of the wind,A storm of Swords
3719,own,pronoun,a1,a1,0,0,0,0
3720,own,verb,a2,a2,0,0,0,0
3721,owner,noun,a2,a2,6,1,16,7
3722,ownership,noun,-1,b2,0,0,1,0
3723,oxygen,noun,-1,b2,0,0,0,0
3724,pace,noun,b2,b2,9,15,6,9
3725,pace,verb,b2,b2,0,0,0,0
3726,pack,noun,b1,b1,22,7,7,36
3727,pack,verb,a2,a2,0,0,0,0
3728,package,noun,b1,b1,0,1,2,0
3729,package,verb,b2,b2,0,0,0,0
3730,packet,noun,-1,b2,0,0,1,0
3731,pad,noun,-1,c1,0,0,0,0
3732,page,noun,a1,a1,18,1,26,22
3733,pain,noun,a2,a2,45,94,55,58
3734,painful,adjective,b1,b1,2,8,15,4
3735,paint,noun,a1,a1,10,4,5,7
3736,paint,verb,a1,a1,0,0,0,0
3737,painter,noun,a2,a2,0,0,0,0
3738,painting,noun,a1,a1,1,0,1,1
3739,pair,noun,a1,a1,37,19,55,27
3740,palace,noun,a2,a2,16,5,1,1
3741,pale,adjective,b1,b1,111,116,59,131
3742,palm,noun,-1,b2,9,5,11,9
3743,pan,noun,b1,b1,0,0,2,0
3744,panel,noun,b2,b2,2,0,2,1
3745,panic,noun,-1,b2,4,5,14,5
3746,pants,noun,a2,a2,4,4,23,3
3747,paper,noun,a1,a1,18,31,55,7
3748,parade,noun,-1,b2,4,0,3,1
3749,paragraph,noun,a1,a1,0,0,0,0
3750,parallel,adjective,-1,b2,0,0,2,0
3751,parallel,noun,-1,b2,0,0,0,0
3752,parameter,noun,-1,c1,0,0,0,0
3753,parent,noun,a1,a1,0,0,9,0
3754,parental,adjective,-1,c1,0,0,0,0
3755,parish,noun,-1,c1,0,0,1,0
3756,park,noun,a1,a1,0,0,2,0
3757,park,verb,a1,a1,0,0,0,0
3758,parking,noun,a2,a2,0,0,0,0
3759,parliament,noun,b2,b2,0,0,0,0
3760,parliamentary,adjective,-1,c1,0,0,0,0
3761,part,noun,a1,a1,121,71,108,139
3762,part-time,adjective,-1,b2,0,0,0,0
3763,partial,adjective,-1,c1,1,0,2,0
3764,partially,adverb,-1,c1,0,0,1,1
3765,participant,noun,b2,b2,0,0,0,0
3766,participate,verb,b1,b1,0,0,0,0
3767,participation,noun,-1,b2,0,0,0,0
3768,particular,adjective,a2,a2,5,8,21,1
3769,particularly,adverb,b1,b1,2,1,19,2
3770,partly,adverb,b2,b2,1,0,12,0
3771,partner,noun,a1,a1,1,1,1,1
3772,partnership,noun,-1,b2,0,0,1,0
3773,party,noun,a1,a1,16,32,4,4
3774,pass,noun,b1,b1,49,39,26,56
3775,pass,verb,a2,a2,0,0,0,0
3776,passage,noun,b2,b2,3,3,4,14
3777,passenger,noun,a2,a2,0,0,3,0
3778,passing,noun,-1,c1,17,23,10,23
3779,passion,noun,b1,b1,3,4,1,5
3780,passionate,adjective,-1,b2,1,0,1,1
3781,passive,adjective,-1,c1,0,0,0,0
3782,passport,noun,a1,a1,0,0,0,0
3783,password,noun,-1,b2,0,0,0,0
3784,past,adjective,a1,a1,144,128,64,175
3785,past,adverb,a2,a2,0,0,0,0
3786,past,noun,a1,a1,0,0,0,0
3787,past,preposition,a1,a1,0,0,0,0
3788,pastor,noun,-1,c1,0,0,0,0
3789,patch,noun,-1,c1,7,0,11,5
3790,patent,noun,-1,c1,0,0,0,0
3791,path,noun,b1,b1,18,21,20,28
3792,pathway,noun,-1,c1,0,1,0,1
3793,patience,noun,-1,b2,9,13,9,2
3794,patient,adjective,b2,b2,8,5,14,7
3795,patient,noun,a2,a2,0,0,0,0
3796,patrol,noun,-1,c1,1,0,0,5
3797,patrol,verb,-1,c1,0,0,0,0
3798,patron,noun,-1,c1,0,0,29,0
3799,pattern,noun,a2,a2,1,0,10,1
3800,pause,noun,-1,b2,7,2,23,4
3801,pause,verb,-1,b2,0,0,0,0
3802,pay,noun,a2,a2,33,33,51,75
3803,pay,verb,a1,a1,0,0,0,0
3804,payment,noun,b1,b1,4,3,1,5
3805,peace,noun,a2,a2,45,46,12,46
3806,peaceful,adjective,b1,b1,3,4,1,9
3807,peak,noun,-1,c1,0,1,5,4
3808,peasant,noun,-1,c1,1,4,0,6
3809,peculiar,adjective,-1,c1,1,1,1,2
3810,peer,noun,-1,b2,3,3,3,8
3811,pen,noun,a1,a1,0,2,46,0
3812,penalty,noun,-1,b2,0,3,0,5
3813,pencil,noun,a1,a1,0,0,1,0
3814,penny,noun,a2,a2,3,0,45,7
3815,pension,noun,b2,b2,0,0,0,0
3816,people,noun,a1,a1,98,69,196,109
3817,pepper,noun,a1,a1,8,6,4,4
3818,per,preposition,a2,a2,0,0,1,0
3819,per cent,adjective,a2,a2,0,0,0,0
3820,per cent,adverb,a2,a2,0,0,0,0
3821,per cent,noun,a2,a2,0,0,0,0
3822,perceive,verb,-1,b2,0,0,0,0
3823,percentage,noun,b1,b1,0,0,0,0
3824,perception,noun,-1,b2,0,0,0,0
3825,perfect,adjective,a1,a1,4,5,42,8
