"넷플릭스 오리지널 시리즈"	‎"넷플릭스 오리지널 시리즈"
‎아니 되옵니다, 그러시다가 또 ‎중전마마께 무슨 봉변을 당하시려...	‎아니 되옵니다, 그러시다가 또 ‎중전마마께 무슨 봉변을 당하시려...
‎(창) ‎강녕전에 가지 말라 하였지	‎(창) ‎강녕전에 가지 말라 하였지
‎궐 밖으로 나가지 말라는 말은 없었다	‎궐 밖으로 나가지 말라는 말은 없었다
‎(무영) ‎저하!	‎(무영) ‎저하!
‎(창) ‎잠행을 준비하라	‎(창) ‎잠행을 준비하라
‎너와 나 단둘이 갈 것이다	‎너와 나 단둘이 갈 것이다
‎(무영) ‎저, 그럼...	‎(무영) ‎저, 그럼...
‎육전은...	‎육전은...
‎[창의 한숨]	‎[창의 한숨]
‎[창의 짜증 섞인 신음]	‎[창의 짜증 섞인 신음]
‎[어두운 음악]	‎[어두운 음악]
‎[병자1의 못마땅한 신음]	‎[병자1의 못마땅한 신음]
‎(서비) ‎조금만 더 드세요 ‎그래야 빨리 건강해지시죠	‎(서비) ‎조금만 더 드세요 ‎그래야 빨리 건강해지시죠
‎(병자1) ‎나중에 먹지	‎(병자1) ‎나중에 먹지
‎[영신이 그릇을 탁 내려놓는다]	‎[영신이 그릇을 탁 내려놓는다]
‎(영신) ‎이딴 거나 먹여 대니	‎(영신) ‎이딴 거나 먹여 대니
‎이거 뭐, 병 때문에 죽는 게 아니라 ‎굶어서 뒈져 버리겠네	‎이거 뭐, 병 때문에 죽는 게 아니라 ‎굶어서 뒈져 버리겠네
‎관아에서 환곡미를 곧 ‎내려 준다 했으니	‎관아에서 환곡미를 곧 ‎내려 준다 했으니
‎그때까지 조금만 참으세요	‎그때까지 조금만 참으세요
‎참이나 내려 주시겠다	‎참이나 내려 주시겠다
‎그놈의 환곡미 기다리다가	‎그놈의 환곡미 기다리다가
‎하루에만 수십 명이 ‎굶어 뒈지는 판인데	‎하루에만 수십 명이 ‎굶어 뒈지는 판인데
‎[침을 칵 모은다]	‎[침을 칵 모은다]
‎(서비) ‎쉬고 있어	‎(서비) ‎쉬고 있어
‎[서비가 상을 탁 내려놓는다]	‎[서비가 상을 탁 내려놓는다]
‎[영신의 짜증 섞인 신음]	‎[영신의 짜증 섞인 신음]
‎뭐 하는 거야?	‎뭐 하는 거야?
‎저거라도 먹지 않으면 ‎저 사람들 더 위독해지니까	‎저거라도 먹지 않으면 ‎저 사람들 더 위독해지니까
‎입조심하세요	‎입조심하세요
‎(영신) ‎아, 근데	‎(영신) ‎아, 근데
‎그, 이승희인가 하는 의원은 ‎언제 오는 거요?	‎그, 이승희인가 하는 의원은 ‎언제 오는 거요?
‎(서비) ‎한양에 가셨다고 말씀드렸잖아요	‎(서비) ‎한양에 가셨다고 말씀드렸잖아요
